col1-time col2-mc1.x[0] col3-mc1.x[1] col4-mc1.y[0] 
70 40.000000 2.000000 2.000000 
71 39.000000 2.000000 2.000000 
72 38.000000 2.000000 2.000000 
73 37.000000 2.000000 2.000000 
74 36.000000 2.000000 2.000000 
75 35.000000 2.000000 2.000000 
76 34.000000 2.000000 2.000000 
77 33.000000 2.000000 2.000000 
78 32.000000 2.000000 2.000000 
79 31.000000 2.000000 2.000000 
80 30.000000 2.000000 2.000000 
81 29.000000 2.000000 2.000000 
82 28.000000 2.000000 2.000000 
83 27.000000 2.000000 2.000000 
84 26.000000 2.000000 2.000000 
85 25.000000 2.000000 2.000000 
86 24.000000 2.000000 2.000000 
87 23.000000 2.000000 2.000000 
88 22.000000 2.000000 2.000000 
89 21.000000 2.000000 2.000000 
90 20.000000 2.000000 2.000000 
91 19.000000 2.000000 2.000000 
92 18.000000 2.000000 2.000000 
93 17.000000 2.000000 2.000000 
94 16.000000 2.000000 2.000000 
95 15.000000 2.000000 2.000000 
96 14.000000 2.000000 2.000000 
97 13.000000 2.000000 2.000000 
98 12.000000 2.000000 2.000000 
99 11.000000 2.000000 2.000000 
100 10.000000 2.000000 2.000000 
101 9.000000 2.000000 2.000000 
102 8.000000 2.000000 2.000000 
103 7.000000 2.000000 2.000000 
104 6.000000 2.000000 2.000000 
105 5.000000 2.000000 2.000000 
106 4.000000 2.000000 2.000000 
107 3.000000 2.000000 2.000000 
108 2.000000 2.000000 2.000000 
109 1.000000 2.000000 2.000000 
110 0.000000 2.000000 2.000000 
111 95.000000 0.000000 0.000000 
112 94.000000 0.000000 0.000000 
113 93.000000 0.000000 0.000000 
114 92.000000 0.000000 0.000000 
115 91.000000 0.000000 0.000000 
116 90.000000 0.000000 0.000000 
117 89.000000 0.000000 0.000000 
118 88.000000 0.000000 0.000000 
119 87.000000 0.000000 0.000000 
120 86.000000 0.000000 0.000000 
121 85.000000 0.000000 0.000000 
122 84.000000 0.000000 0.000000 
123 83.000000 0.000000 0.000000 
124 82.000000 0.000000 0.000000 
125 81.000000 0.000000 0.000000 
126 80.000000 0.000000 0.000000 
127 79.000000 0.000000 0.000000 
128 78.000000 0.000000 0.000000 
129 77.000000 0.000000 0.000000 
130 76.000000 0.000000 0.000000 
131 75.000000 0.000000 0.000000 
132 74.000000 0.000000 0.000000 
133 73.000000 0.000000 0.000000 
